Text,Product_Start,Product_End,Price_Start,Price_End,Promotion_Start,Promotion_End,Marketplace_Start,Marketplace_End,,,,
Saya baru saja membeli baju seharga 500 ribu di Tokopedia,23,26,36,43,,,48,56,,,,
"Ada diskon 50% apabila saya membeli handphone di Tiktok Shop, Haruskah saya beli?",36,44,,,4,13,49,59,,,,
Saya ingin mengetahui harga terbaru untuk tablet di toko online,42,47,,,,,52,62,,,,
Buku terbaru karya penulis ternama seharga 100 ribu,0,3,43,50,,,,,,,,
Tas cantik dengan harga terjangkau,0,2,,,,,,,,,,
Saya ingin membeli tiket konser coldplay di Jakarta dengan harga 1 juta,19,23,65,70,,,,,,,,
"Ada promo buy 1 get 1 di matahari khusus pakaian wanita, harus beli ga ya",41,47,,,10,20,25,32,,,,
Pengen banget beli kamera tapi harganya 5 juta,19,24,40,45,,,,,,,,
"Ada sepatu merk terkenal dengan harga 700 ribu, cocok untuk acara pesta",4,9,38,45,,,,,,,,
"Ada diskon 30% untuk pembelian obat di Lazada tapi akhir bulan, beli ga ya?",31,34,,,4,13,39,44,,,,
"Saya ingin beli laptop baru, budgetnya 10 juta",16,21,39,45,,,,,,,,
Pengen beli baju buat lebaran dengan budget 500 ribu,12,15,44,51,,,,,,,,
Mau beli baju online tapi takut ukurannya nggak pas,9,12,,,,,,,,,,
Di matahari ada promo dapat voucher belanja senilai 200 ribu dengan pembelian di atas 1 juta untuk setiap pembelian celana jeans,116,127,86,91,28,34,3,11,,,,
"Kulkas baru dengan harga 3 juta, free ongkir untuk wilayah Jabodetabek",0,5,25,30,33,43,,,,,,
"Ada penawaran spesial, beli 2 gratis 1 untuk produk perawatan kulit",52,66,,,23,37,,,,,,
Ada cashback 10% untuk transaksi menggunakan kartu kredit Bank ABC,58,65,,,4,11,,,,,,
Mau beli sepatu sport tapi bingung merk yang bagus,9,14,,,,,,,,,,
Harga tiket pesawat Jakarta-Bali naik drastis di bulan depan,6,18,,,,,,,,,,
Ada pre-order untuk smartphone terbaru dengan harga promo,20,29,,,,,,,,,,
Pengen beli popok untuk bayi yang sesuai budget 50 ribu di shopee,12,16,48,54,,,59,64,,,,
"Ada potongan 50 ribu untuk ke-5 pembeli pakaian pertama di H&M store, tanpa minimum order",40,46,13,19,,,59,67,,,,
Saya beli celana jeans seharga 500 ribu,10,21,31,38,,,,,,,,
Saya menyesal telah membeli laptop dengan harga 12 juta tetapi ada sedikit kerusakan,28,33,48,54,,,,,,,,
Saya ingin beli kamera DSLR dengan harga terjangkau,16,21,,,,,,,,,,
Diskon 50% untuk semua produk elektronik di Blibli seperti jam tangan,59,61,,,0,9,44,49,,,,
Kemarin saya membeli alat tulis di Gramedia karena ada diskon untuk member baru dan hanya menghabiskan 50 ribu,21,30,103,109,,,35,42,,,,
"Ada penawaran spesial, beli 3 gratis 1 untuk shampoo",45,51,,,23,37,,,,,,
Pengen beli sepatu olahraga dengan harga 800 ribu untuk keperluan jogging,12,17,41,48,,,,,,,,
"Mau beli tiket konser Ed Sheeran di Jakarta, tapi harganya mahal",9,20,,,,,,,,,,
Ada promo cashback 10% kalo beli game untuk pembelian di toko online,33,36,,,10,21,57,67,,,,
Kemarin saya liat tas branded dengan diskon besar-besaran di outlet mall,18,20,,,,,61,71,,,,
Saya baru saja membeli TV LED 50 inci dengan harga promo 5 juta,23,24,57,62,,,,,,,,
"Mau beli laptop gaming, tapi budget terbatas",9,14,,,,,,,,,,
Diskon 30% untuk liptint di Watsons,17,23,,,,,28,34,,,,
Buku panduan investasi terbaru dengan harga 200 ribu,0,3,44,51,,,,,,,,
Harga smartphone flagship turun drastis setelah perilisan versi terbaru,6,15,,,,,,,,,,
Pengen beli vitamin c di halodoc karena cuma 25 ribu,12,18,45,51,,,,,,,,
Beli pakaian di outlet ternama dapat voucher belanja senilai 100 ribu,5,11,61,68,,,,,,,,
Mau beli sepatu running tapi takut salah pilih ukuran,9,14,,,,,,,,,,
"Ada diskon spesial di toko fashion online untuk pembelanjaan legging, hanya berlaku hari ini",61,67,,,,,22,33,,,,
"Saya baru saya memesan dua tiket nonton seharga 100 ribu, mahal karena weekend",27,38,48,55,,,,,,,,
Saya ingin mencoba untuk pre-order game terbaru karena dapat bonus item eksklusif,35,38,,,,,,,,,,
pgn beli cardi crop karena harganya murah banget cuma 40 ribu di tiktok shop,9,13,54,60,,,65,75,,,,
pgn beli liptint rose all day,9,15,,,,,,,,,,
pengen beli headset deh gak enak bgt yg nyala cuma satu doang,12,18,,,,,,,,,,
"lg suka ngefoto foto trs ngide pgn beli kamera. mau tau harganya dong
",40,45,,,,,,,,,,
Mau beli handphone baru tapi bingung yang bagus apa,9,17,,,,,,,,,,
Baru keracunan beli baju seharga 100 ribu padahal ga butuh-butuh bgt,20,23,33,40,,,,,,,,
pengen beli skin tint baru tapi dibawah 100 ribu,12,20,40,47,,,,,,,,
"Pgn beli dress super lucu tapi PO 4weeks dan harganya 350 ribu :)
",9,13,,,,,,,,,,
