Text,Product_Name,Product_Start,Product_End,Price_Name,Price_Start,Price_End,Promotion_Type,Promotion_Start,Promotion_End,Marketplace_Name,Marketplace_Start,Marketplace_End
Saya baru saja membeli baju seharga 500 ribu di Tokopedia,baju,23,26,500 ribu,36,43,,,,Tokopedia,48,56
"Ada diskon 50% apabila saya membeli handphone di Tiktok Shop, Haruskah saya beli?",handphone,36,44,,,,diskon 50%,4,13,Tiktok Shop,49,59
Saya ingin mengetahui harga terbaru untuk tablet di toko online,tablet,42,47,,,,,,,toko online,52,62
Buku terbaru karya penulis ternama seharga 100 ribu,buku,0,3,100 ribu,43,50,,,,,,
Tas cantik dengan harga terjangkau,tas,0,2,,,,,,,,,
Saya ingin membeli tiket konser coldplay di Jakarta dengan harga 1 juta,tiket,19,23,1 juta,65,70,,,,,,
"Ada promo buy 1 get 1 di matahari khusus pakaian wanita, harus beli ga ya",pakaian,41,47,,,,buy 1 get 1,10,20,matahari,25,32
Pengen banget beli kamera tapi harganya 5 juta,kamera,19,24,5 juta,40,45,,,,,,
"Ada sepatu merk terkenal dengan harga 700 ribu, cocok untuk acara pesta",sepatu,4,9,700 ribu,38,45,,,,,,
"Ada diskon 30% untuk pembelian obat di Lazada tapi akhir bulan, beli ga ya?",obat,31,34,,,,diskon 30%,4,13,lazada,39,44
"Saya ingin beli laptop baru, budgetnya 10 juta",laptop,16,21,10 juta,39,45,,,,,,
Pengen beli baju buat lebaran dengan budget 500 ribu,baju,12,15,500 ribu,44,51,,,,,,
Mau beli baju online tapi takut ukurannya nggak pas,baju,9,12,,,,,,,,,
Di matahari ada promo dapat voucher belanja senilai 200 ribu dengan pembelian di atas 1 juta untuk setiap pembelian celana jeans,celana jeans,116,127,1 juta,86,91,voucher,28,34,matahari ,3,11
"Kulkas baru dengan harga 3 juta, free ongkir untuk wilayah Jabodetabek",kulkas,0,5,3 juta,25,30,free ongkir,33,43,,,
"Ada penawaran spesial, beli 2 gratis 1 untuk produk perawatan kulit",perawatan kulit,52,66,,,,beli 2 gratis 1,23,37,,,
Ada cashback 10% untuk transaksi menggunakan kartu kredit Bank ABC,Bank ABC,58,65,,,,cashback,4,11,,,
Mau beli sepatu sport tapi bingung merk yang bagus,sepatu,9,14,,,,,,,,,
Harga tiket pesawat Jakarta-Bali naik drastis di bulan depan,tiket pesawat,6,18,,,,,,,,,
Ada pre-order untuk smartphone terbaru dengan harga promo,smartphone,20,29,,,,,,,,,
Pengen beli popok untuk bayi yang sesuai budget 50 ribu di shopee,popok,12,16,50 ribu,48,54,,,,shopee,59,64
"Ada potongan 50 ribu untuk ke-5 pembeli pakaian pertama di H&M store, tanpa minimum order",pakaian,40,46,50 ribu,13,19,,,,H&M store,59,67
Saya beli celana jeans seharga 500 ribu,celana jeans,10,21,500 ribu,31,38,,,,,,
Saya menyesal telah membeli laptop dengan harga 12 juta tetapi ada sedikit kerusakan,laptop,28,33,12 juta,48,54,,,,,,
Saya ingin beli kamera DSLR dengan harga terjangkau,kamera,16,21,,,,,,,,,
Diskon 50% untuk semua produk elektronik di Blibli seperti jam tangan,jam,59,61,,0,-1,diskon 50%,0,9,blibli,44,49
Kemarin saya membeli alat tulis di Gramedia karena ada diskon untuk member baru dan hanya menghabiskan 50 ribu,alat tulis,21,30,50 ribu,103,109,,,,gramedia,35,42
"Ada penawaran spesial, beli 3 gratis 1 untuk shampoo",shampoo,45,51,,,,beli 3 gratis 1,23,37,,,
Pengen beli sepatu olahraga dengan harga 800 ribu untuk keperluan jogging,sepatu,12,17,800 ribu,41,48,,,,,,
"Mau beli tiket konser Ed Sheeran di Jakarta, tapi harganya mahal",tiket konser,9,20,,,,,,,,,
Ada promo cashback 10% kalo beli game untuk pembelian di toko online,game,33,36,,,,cashback 10%,10,21,toko online,57,67
Kemarin saya liat tas branded dengan diskon besar-besaran di outlet mall,tas,18,20,,,,,,,outlet mall,61,71
Saya baru saja membeli TV LED 50 inci dengan harga promo 5 juta,TV,23,24,5 juta,57,62,,,,,,
"Mau beli laptop gaming, tapi budget terbatas",laptop,9,14,,,,,,,,,
Diskon 30% untuk liptint di Watsons,liptint,17,23,,,,,,,watsons,28,34
Buku panduan investasi terbaru dengan harga 200 ribu,buku,0,3,200 ribu,44,51,,,,,,
Harga smartphone flagship turun drastis setelah perilisan versi terbaru,smartphone,6,15,,,,,,,,,
Pengen beli vitamin c di halodoc karena cuma 25 ribu,vitamin,12,18,25 ribu,45,51,,,,,,
Beli pakaian di outlet ternama dapat voucher belanja senilai 100 ribu,pakaian,5,11,100 ribu,61,68,,,,,,
Mau beli sepatu running tapi takut salah pilih ukuran,sepatu,9,14,,,,,,,,,
"Ada diskon spesial di toko fashion online untuk pembelanjaan legging, hanya berlaku hari ini",legging,61,67,,,,,,,toko fashion,22,33
"Saya baru saya memesan dua tiket nonton seharga 100 ribu, mahal karena weekend",tiket nonton,27,38,100 ribu,48,55,,,,,,
Saya ingin mencoba untuk pre-order game terbaru karena dapat bonus item eksklusif,game,35,38,,,,,,,,,
pgn beli cardi crop karena harganya murah banget cuma 40 ribu di tiktok shop,cardi,9,13,40 ribu,54,60,,,,tiktok shop,65,75
pgn beli liptint rose all day,liptint,9,15,,,,,,,,,
pengen beli headset deh gak enak bgt yg nyala cuma satu doang,headset,12,18,,,,,,,,,
"lg suka ngefoto foto trs ngide pgn beli kamera. mau tau harganya dong
",kamera,40,45,,,,,,,,,
Mau beli handphone baru tapi bingung yang bagus apa,handphone,9,17,,,,,,,,,
Baru keracunan beli baju seharga 100 ribu padahal ga butuh-butuh bgt,baju,20,23,100 ribu,33,40,,,,,,
pengen beli skin tint baru tapi dibawah 100 ribu,skin tint,12,20,100 ribu,40,47,,,,,,
"Pgn beli dress super lucu tapi PO 4weeks dan harganya 350 ribu :)
",dress,9,13,,,,,,,,,
Abis shopeefood Mcd karena laper banget dan abis 80 ribu :(,Mcd,16,18,80 ribu,49,55,,,,,,
Ngidam makan lawson karena ada diskon 5.5 di gojek dan cuma abis 50k buat 3 odeng,odeng,76,80,50k,65,67,diskon 5.5,31,40,gojek,45,49
IMPULSIVE BANGET abis beli tiket nonton badminton 3 hari berturut-turut tp cuma abis 100k,tiket nonton,27,38,100k,85,88,,,,,,
kepikiran pgn beli ipad tp hbs ini juga udh gk kuliah yg full matkul jadi ywd buat apa,ipad,19,22,,,,,,,,,
pengen hidup sehat dan pas banget dapet voucher di tiktok shop akhirnya beli blender seharga 150k,blender,77,83,150k,93,96,,,,tiktok shop,51,61
Ada diskon 30% untuk minyak karena lagi ada payday sale,minyak,21,26,,,,diskon 30%,4,13,,0,-1
info harga motor mio,harga,5,9,,,,,,,,,
mau beli mobil avanza second budget 200 jt,mobil avanza,9,20,200 jt,36,41,,,,,,
abis beli obat kutu kucing yang harganya 150k,obat kutu kucing,10,25,150k,41,44,,,,,,
pengen beli foundation tapi harganya 120k,foundation,12,21,120k,37,40,,,,,,
Aku baru saja membeli lipstik merah yang cantik karena ada promo buy 1 get 1,lipstik,22,28,,,,buy 1 get 1,65,75,,,
Ada diskon 20% untuk semua produk maskara minggu ini,maskara,34,40,,,,diskon 20%,4,13,,,
Concealer dengan harga promo hanya Rp 75.000 untuk pembelian hari ini,concealer,0,8,Rp 75.000 ,35,44,,,,,,
Saya coba beli sayuran di AlloFresh dan dapat diskon 20% dan hanya menghabiskan 35k,sayuran,15,21,35k,80,82,diskon 20%,46,55,allofresh,26,34
"Kemarin saya coba beli es krim di Baskin Robbins dan harganya 125k, sangat mahal",es krim,23,29,125k,62,65,,,,baskin robbins,34,47
Kemarin siang saya beli paket makan siang dengan harga promo Rp 20.000 di Restoran Padang Sederhana.,makan siang,30,40,Rp 20.000,61,69,,,,restoran padang sederhana,74,98
Saya beli indomie 1 dus di Tokopedia karena sedang ada diskon 50%,indomie,10,16,,,,diskon 50%,55,64,tokopedia,27,35
Saya beli Minyak kayu putih dengan harga Rp 20.000 di Tokopedia,minyak kayu putih,10,26,Rp 20.000,41,49,,,,,,
Maskara waterproof ini memiliki harga Rp 80.000 beli 1 gratis 1,maskara,0,6,Rp 80.000,38,46,beli 1 gratis 1,48,62,,,
Eyeshadow palette dengan berbagai warna vibrant dijual seharga Rp 150.000,eyeshadow,0,8,Rp 150.000,63,72,,,,,,
Foundation matte yang tahan lama gratis pengiriman untuk pembelian di atas Rp 200.000.,foundation,0,9,Rp 200.000,75,84,,,,,,
"Bedak tabur dengan tekstur halus ini memiliki harga Rp 75.000, promo buy 2 get 1 free.",bedak,0,4,Rp 75.000,52,60,buy 2 get 1,69,79,,,
Blush on dalam warna natural ini dijual dengan harga Rp 60.000 diskon 15% untuk pembelian online.,blush on,0,7,Rp 60.000,53,61,,,,,,
"Pensil alis tahan air ini dijual dengan harga Rp 30.000, promo beli 3 gratis 1.",pensil alis,0,10,Rp 30.000,46,54,beli 3 gratis 1,63,77,,,
"Pengen beli rok dengan desain motif bunga harga Rp 100.000 di Tokopedia.
",rok,12,14,Rp 100.000,48,57,,,,tokopedia,62,70
Kemarin saya beli obat batuk di online cuma 30k karena dapat diskon 10%.,obat batuk,18,27,30k,44,46,diskon 10%,61,70,online,32,37
Celana jeans slim fit dengan potongan harga 20% saat pembelian di Zalora.,celana jeans,0,11,,,,harga 20%,38,46,zalora,66,71
Saya beli Vitamin C dengan diskon 20% di JD.ID dan dapat harga 10 ribu untuk 3pcs,vitamin c,10,18,10 ribu ,63,70,diskon 20%,27,36,jd.id,41,45
"Toner dengan kandungan bahan alami ini dijual dengan harga Rp 55.000, promo buy 1 get 1 free.",toner,0,4,Rp 55.000,59,67,buy 1 get 1,76,86,,,
"Serum wajah yang menghidrasi ini dijual dengan harga Rp 120.000, diskon 15% untuk pembelian lebih dari Rp 150.000.",serum,0,4,Rp 120.000,53,62,diskon 15%,65,74,,,
"Losion tubuh dengan aroma floral ini dijual dengan harga Rp 40.000, promo beli 2 dapatkan diskon 20% untuk produk mandi.",losion,0,5,Rp 40.000,57,65,diskon 20%,90,99,,,
Sepatu sneakers hitam dengan harga promo Rp 300.000 di JD.ID.,sepatu sneakers,0,14,Rp 300.000,41,50,,,,jd.id,55,59
Hari ini saya beli Vitamin D dengan harga promo Rp 80.000 di Apotek Century.,vitamin d,19,27,Rp 80.000,48,56,,,,apotek century,61,74
Obat alergi dengan diskon 10% di Watsons.,obat alergi,0,10,,,,diskon 10%,19,28,,,
"Sabun wajah dengan kandungan alami ini dijual dengan harga Rp 35.000, diskon 10% untuk pembelian online.",sabun,0,4,Rp 35.000,59,67,diskon 10%,70,79,,,
"Krim malam yang menghidrasi ini dijual dengan harga Rp 80.000, promo beli 1 dapatkan potongan harga 50% untuk produk perawatan mata.",krim,0,3,Rp 80.000,52,60,potongan harga 50%,85,102,,,
Saya beli sandal gunung dengan diskon 10% di Lazada.,sandal gunung,10,22,,,,,,,lazada,45,50
Saya rencana ingin liburan ke luar negeri dan beli Koper lipat dengan harga promo Rp 200.000 di Tokopedia.,koper,51,55,Rp 200.000,82,91,,,,tokopedia,96,104
"Eyeliner tahan air ini dijual dengan harga Rp 25.000, diskon 15% untuk pembelian lebih dari Rp 50.000",eyeliner,0,7,Rp 25.000,43,51,diskon 15%,54,63,,0,-1
"Pelembab bibir dengan SPF 15 ini dijual dengan harga Rp 20.000, promo beli 2 dapatkan diskon 10%.",pelembab,0,7,Rp 20.000,53,61,diskon 10%,86,95,,0,-1
Saya baru saya membeli sisir seharga 50 ribu,sisir,23,27,50 ribu,37,43,,,,,0,-1
"Kuas makeup yang lembut ini dijual dengan harga Rp 35.000, diskon 20% untuk pembelian online.",kuas makeup,0,10,Rp 35.000,48,56,diskon 20%,59,68,,0,-1
Mau beli tiket konser RV tapi harganya 5 juta,tiket konser,9,20,5 juta,39,44,,0,-1,,0,-1
